5sg38i5L2QyUsUU.65b.VU 5sg38i5L2QyUsUU.65b.VU {5sfnmC5L2QyUsUU.65b.VU 200 59999 Org 100 59999 Decimal Uid NULL Yes UName*It 0.0.0 {} 848707757 uid}
5sk3RC5L2QyUsUU.65b.VU 5sk3RC5L2QyUsUU.65b.VU {5sjwhC5L2QyUsUU.65b.VU 100 59999 Cell 10 59999 Decimal Gid NULL Yes UName*It 0.0.0 {} 848707757 gid}
5sqB4C5L2QyUsUU.65b.VU 5sqB4C5L2QyUsUU.65b.VU {5sq6iC5L2QyUsUU.65b.VU 7000 32767 Global 1 65535 Decimal {TCP Port} NULL Yes UName*It 0.0.0 {} 848707757 tcp_port}
5sqJlC5L2QyUsUU.65b.VU 5sqJlC5L2QyUsUU.65b.VU {5sqFPi5L2QyUsUU.65b.VU 7000 32767 Global 1 65535 Decimal {UDP Port} NULL Yes UName*It 0.0.0 {} 848707757 udp_port}
